vin,event,charge_mode,duration_minutes,soc,end_soc,odo,end_odo
-2.47174e+18,trip,0,161.42,79.6,50.8,3016.12032,3153.18449
-2.47174e+18,charge,240,61.63,50.8,64.9,3153.18449,3153.18449
-2.47174e+18,trip,0,54.04,64.9,58.5,3153.18449,3188.72122
-2.47174e+18,trip,0,51.4,58.5,57.5,3188.72122,3199.61622
-2.47174e+18,trip,0,34.68,57.5,55.6,3199.61622,3219.38138
-2.47174e+18,trip,0,379.2,55.6,50.1,3219.38138,3268.44191
-2.47174e+18,trip,0,21.77,50.1,49.4,3268.44191,3280.17362
-2.47174e+18,trip,0,34.29,49.4,46.4,3280.17362,3300.01146
-2.47174e+18,trip,0,36.05,46.4,45.5,3300.01146,3315.20192
-2.47174e+18,trip,0,29.03,45.5,43.4,3315.20192,3330.2085
-2.47174e+18,charge,120,372.6,43.4,48.0,3330.2085,3330.2085
-2.47174e+18,trip,0,79.1,48.0,40.0,3330.2085,3380.3038
-2.47174e+18,trip,0,29.46,40.0,39.1,3380.3038,3393.96159
-2.47174e+18,charge,120,936.31,39.1,54.9,3393.96159,3393.96159
-2.47174e+18,trip,0,78.09,54.9,48.4,3393.96159,3439.7579
-2.47174e+18,trip,0,33.39,48.4,46.0,3439.7579,3460.84489
-2.47174e+18,trip,0,114.03,46.0,36.4,3460.84489,3516.33839
-2.47174e+18,trip,0,45.54,36.4,34.2,3516.33839,3532.51722
-2.47174e+18,charge,120,526.07,34.2,46.3,3532.51722,3532.51722
-2.47174e+18,trip,120,530.73,46.3,38.4,3532.51722,3596.04754
-2.47174e+18,charge,DC Charging,48.4,38.4,69.8,3596.04754,3596.04754
-2.47174e+18,trip,0,36.78,69.8,66.7,3596.04754,3614.56508
-2.47174e+18,trip,0,75.14,66.7,59.6,3614.56508,3653.69788
-2.47174e+18,trip,0,91.93,59.6,46.7,3653.69788,3721.7168
-2.47174e+18,trip,0,26.12,46.7,44.4,3721.7168,3737.58054
-2.47174e+18,charge,240,62.7,44.4,56.9,3737.58054,3737.58054
-2.47174e+18,trip,0,52.87,56.9,51.8,3737.58054,3771.21905
-2.47174e+18,trip,0,32.79,51.8,48.3,3771.21905,3792.63593
-2.47174e+18,charge,240,79.43,48.3,56.8,3792.63593,3792.63593
-2.47174e+18,trip,0,147.86,56.8,34.7,3792.63593,3897.11949
-2.47174e+18,trip,0,44.53,34.7,28.8,3897.11949,3920.34927
-2.47174e+18,charge,120,94.33,28.8,30.7,3920.34927,3920.34927
-2.47174e+18,trip,0,56.18,30.7,26.0,3920.34927,3953.48902
-2.47174e+18,trip,0,47.89,26.0,25.2,3953.48902,3965.55563
-2.47174e+18,charge,120,141.02,25.2,31.1,3965.55563,3965.55563
-2.47174e+18,trip,0,51.45,31.1,26.5,3965.55563,3991.23778
-2.47174e+18,trip,0,80.4,26.5,16.3,3991.23778,4042.30485
-2.47174e+18,charge,DC Charging,72.68,16.3,45.2,4042.30485,4042.30485
-2.47174e+18,charge,DC Charging,79.12,45.2,74.0,4042.30485,4042.30485
-2.47174e+18,trip,0,101.9,74.0,56.2,4042.30485,4113.65797
-2.47174e+18,trip,0,19.13,56.2,54.4,4113.65797,4129.32394
-2.47174e+18,charge,DC Charging,41.14,54.4,85.8,4129.32394,4129.32394
-2.47174e+18,trip,0,33.76,85.8,82.1,4129.32394,4152.57265
-2.47174e+18,trip,0,58.26,82.1,74.2,4152.57265,4198.8826
-2.47174e+18,trip,0,72.09,74.2,67.7,4198.8826,4234.3962
-2.47174e+18,trip,0,31.43,67.7,63.3,4234.3962,4255.05925
-2.47174e+18,charge,240,103.58,63.3,77.0,4255.05925,4255.05925
-2.47174e+18,trip,0,42.77,77.0,73.5,4255.05925,4279.03419
-2.47174e+18,trip,0,33.84,73.5,71.1,4279.03419,4298.79042
-2.47174e+18,trip,0,52.88,71.1,66.1,4298.79042,4331.65077
-2.47174e+18,trip,0,24.92,66.1,64.9,4331.65077,4343.94449
-2.47174e+18,trip,0,112.85,64.9,48.9,4343.94449,4422.25044
-2.47174e+18,trip,0,31.48,48.9,46.7,4422.25044,4441.88495
-2.47174e+18,trip,0,45.1,46.7,45.3,4441.88495,4456.69075
-2.47174e+18,trip,0,67.17,45.3,38.6,4456.69075,4491.71457
-2.47174e+18,charge,120,557.59,38.6,50.2,4491.71457,4491.71457
-2.47174e+18,trip,0,22.35,50.2,48.4,4491.71457,4504.55725
-2.47174e+18,trip,0,132.27,48.4,37.7,4504.55725,4555.60567
-2.47174e+18,charge,240,77.05,37.7,49.7,4555.60567,4555.60567
-2.47174e+18,trip,0,275.84,49.7,20.1,4555.60567,4707.16113
-2.47174e+18,charge,120,742.88,20.1,28.1,4707.16113,4707.16113
-2.47174e+18,trip,0,43.48,28.1,25.8,4707.16113,4731.13715
-2.47174e+18,charge,DC Charging,79.65,25.8,49.8,4731.13715,4731.13715
-2.47174e+18,trip,0,56.74,49.8,45.6,4731.13715,4758.68953
-2.47174e+18,trip,0,28.6,45.6,42.5,4758.68953,4775.30924
-2.47174e+18,charge,240,84.31,42.5,49.5,4775.30924,4775.30924
-2.47174e+18,trip,0,28.58,49.5,46.5,4775.30924,4793.3643
-2.47174e+18,charge,DC Charging,53.36,46.5,65.4,4793.3643,4793.3643
-2.47174e+18,trip,0,30.45,65.4,61.7,4793.3643,4810.98866
-2.47174e+18,charge,240,81.55,61.7,68.6,4810.98866,4810.98866
-2.47174e+18,trip,0,33.03,68.6,67.6,4810.98866,4825.07027
-2.47174e+18,charge,120,201.03,67.6,72.2,4825.07027,4825.07027
-2.47174e+18,trip,0,37.57,72.2,68.5,4825.07027,4845.68732
-2.47174e+18,trip,0,44.18,68.5,63.9,4845.68732,4876.44139
-2.47174e+18,trip,0,165.19,63.9,45.3,4876.44139,4977.48551
-2.47174e+18,charge,120,168.35,45.3,50.4,4977.48551,4977.48551
-2.47174e+18,trip,0,19.72,50.4,49.5,4977.48551,4990.08404
-2.47174e+18,trip,0,25.8,49.5,46.8,4990.08404,5007.4543
-2.47174e+18,charge,DC Charging,58.15,46.8,66.2,5007.4543,5007.4543
-2.47174e+18,trip,0,53.06,66.2,60.9,5007.4543,5037.31726
-2.47174e+18,trip,0,54.67,60.9,59.0,5037.31726,5056.30487
-2.47174e+18,trip,0,33.01,59.0,57.2,5056.30487,5076.45532
-2.47174e+18,trip,0,31.08,57.2,54.7,5076.45532,5095.93952
-2.47174e+18,trip,0,31.96,54.7,51.1,5095.93952,5116.38795
-2.47174e+18,charge,240,74.48,51.1,62.7,5116.38795,5116.38795
-2.47174e+18,trip,0,158.62,62.7,42.7,5116.38795,5219.42313
-2.47174e+18,charge,DC Charging,44.74,42.7,77.6,5219.42313,5219.42313
-2.47174e+18,trip,0,55.89,77.6,71.3,5219.42313,5256.96349
-2.47174e+18,charge,120,116.15,71.3,75.5,5256.96349,5256.96349
-2.47174e+18,trip,0,44.16,75.5,70.5,5256.96349,5280.57466
-2.47174e+18,charge,120,48.64,70.5,72.8,5280.57466,5280.57466
-2.47174e+18,trip,0,29.02,72.8,70.6,5280.57466,5297.09204
-2.47174e+18,trip,0,46.62,70.6,66.1,5297.09204,5325.34357
-2.47174e+18,charge,120,142.96,66.1,70.0,5325.34357,5325.34357
-2.47174e+18,charge,120,368.16,70.0,77.8,5325.34357,5325.34357
-2.47174e+18,trip,0,188.2,77.8,57.6,5325.34357,5436.12329
-2.47174e+18,trip,0,46.79,57.6,50.2,5436.12329,5471.32498
-2.47174e+18,charge,DC Charging,44.82,50.2,77.4,5471.32498,5471.32498
-2.47174e+18,trip,0,78.08,77.4,65.9,5471.32498,5528.03105
-2.47174e+18,trip,0,159.73,65.9,47.5,5528.03105,5633.0903
-2.47174e+18,trip,0,163.24,47.5,35.6,5633.0903,5696.30669
-2.47174e+18,trip,0,103.8,35.6,19.3,5696.30669,5778.03606
-2.47174e+18,charge,DC Charging,55.66,19.3,40.8,5778.03606,5778.03606
-2.47174e+18,trip,0,36.21,40.8,37.4,5778.03606,5801.65128
-2.47174e+18,trip,0,20.19,37.4,35.4,5801.65128,5813.17087
-2.47174e+18,trip,0,71.6,35.4,24.7,5813.17087,5866.97645
-2.47174e+18,trip,0,39.86,24.7,21.2,5866.97645,5888.10599
-2.47174e+18,charge,DC Charging,63.24,21.2,39.9,5888.10599,5888.10599
-2.47174e+18,trip,0,35.5,39.9,37.5,5888.10599,5908.56001
-2.47174e+18,charge,120,348.66,37.5,48.7,5908.56001,5908.56001
-2.47174e+18,trip,0,19.84,48.7,48.1,5908.56001,5919.16138
-2.47174e+18,trip,0,22.56,48.1,46.3,5919.16138,5933.25722
-2.47174e+18,trip,0,155.12,46.3,27.9,5933.25722,6034.08969
-2.47174e+18,charge,DC Charging,62.82,27.9,49.7,6034.08969,6034.08969
-2.47174e+18,trip,0,22.05,49.7,47.9,6034.08969,6047.79904
-2.47174e+18,charge,240,60.33,47.9,54.8,6047.79904,6047.79904
-2.47174e+18,trip,0,99.39,54.8,43.9,6047.79904,6109.70975
-2.47174e+18,charge,120,223.5,43.9,50.0,6109.70975,6109.70975
-2.47174e+18,trip,0,48.23,50.0,46.8,6109.70975,6132.89262
-2.47174e+18,trip,0,22.49,46.8,45.0,6132.89262,6145.40736
-2.47174e+18,trip,0,21.08,45.0,43.3,6145.40736,6158.0375
-2.47174e+18,charge,240,74.63,43.3,53.1,6158.0375,6158.0375
-2.47174e+18,trip,0,25.16,53.1,51.4,6158.0375,6173.13264
-2.47174e+18,trip,0,82.32,51.4,46.0,6173.13264,6207.08816
-2.47174e+18,trip,0,63.73,46.0,38.6,6207.08816,6246.07841
-2.47174e+18,trip,0,23.77,38.6,37.3,6246.07841,6260.73457
-2.47174e+18,trip,0,17.91,37.3,36.8,6260.73457,6271.15045
-2.47174e+18,charge,120,78.14,36.8,45.0,6271.15045,6271.15045
-2.47174e+18,trip,0,53.69,45.0,43.4,6271.15045,6293.70997
-2.47174e+18,charge,120,281.23,43.4,51.6,6293.70997,6293.70997
-2.47174e+18,trip,0,32.89,51.6,50.2,6293.70997,6311.68418
-2.47174e+18,trip,0,19.68,50.2,48.5,6311.68418,6322.90889
-2.47174e+18,trip,0,65.37,48.5,38.5,6322.90889,6373.08333
-2.47174e+18,charge,240,59.37,38.5,53.7,6373.08333,6373.08333
-2.47174e+18,trip,0,76.52,53.7,41.4,6373.08333,6434.68485
-2.47174e+18,charge,DC Charging,59.33,41.4,58.4,6434.68485,6434.68485
-2.47174e+18,trip,0,21.46,58.4,57.6,6434.68485,6449.01256
-2.47174e+18,charge,240,67.43,57.6,66.0,6449.01256,6449.01256
-2.47174e+18,trip,0,32.17,66.0,63.8,6449.01256,6466.58347
-2.47174e+18,trip,0,84.27,63.8,55.7,6466.58347,6510.63406
-2.47174e+18,trip,0,22.57,55.7,53.9,6510.63406,6523.21638
-2.47174e+18,trip,0,27.72,53.9,51.6,6523.21638,6540.47682
-2.47174e+18,trip,0,50.32,51.6,43.1,6540.47682,6580.54087
-2.47174e+18,charge,DC Charging,53.1,43.1,67.7,6580.54087,6580.54087
-2.47174e+18,trip,0,144.07,67.7,42.7,6580.54087,6695.1776
-2.47174e+18,charge,240,74.0,42.7,50.1,6695.1776,6695.1776
-2.47174e+18,trip,0,58.04,50.1,44.0,6695.1776,6732.4229
-2.47174e+18,charge,DC Charging,47.34,44.0,70.7,6732.4229,6732.4229
-2.47174e+18,trip,0,27.92,70.7,68.6,6732.4229,6750.29688
-2.47174e+18,trip,0,20.33,68.6,67.5,6750.29688,6761.95901
-2.47174e+18,trip,0,38.29,67.5,65.7,6761.95901,6779.04715
-2.47174e+18,trip,0,275.01,65.7,49.3,6779.04715,6859.27319
-2.47174e+18,trip,0,54.91,49.3,48.8,6859.27319,6867.42827
-2.47174e+18,trip,0,140.45,48.8,31.1,6867.42827,6961.24351
-2.47174e+18,charge,DC Charging,112.47,31.1,52.1,6961.24351,6961.24351
-2.47174e+18,trip,0,53.54,52.1,49.7,6961.24351,6987.41601
-2.47174e+18,trip,0,41.71,49.7,45.7,6987.41601,7008.36932
-2.47174e+18,trip,0,51.14,45.7,42.9,7008.36932,7035.40049
-2.47174e+18,charge,240,63.64,42.9,55.8,7035.40049,7035.40049
-2.47174e+18,trip,0,25.18,55.8,53.3,7035.40049,7049.54496
-2.47174e+18,trip,0,130.55,53.3,40.1,7049.54496,7120.90158
-2.47174e+18,charge,DC Charging,53.08,40.1,65.5,7120.90158,7120.90158
-2.47174e+18,trip,0,30.77,65.5,62.6,7120.90158,7140.74619
-2.47174e+18,trip,0,23.26,62.6,60.7,7140.74619,7154.5612
-2.47174e+18,trip,0,43.14,60.7,56.0,7154.5612,7178.98115
-2.47174e+18,charge,DC Charging,96.72,56.0,73.7,7178.98115,7178.98115
-2.47174e+18,trip,0,90.89,73.7,64.7,7178.98115,7225.88267
-2.47174e+18,trip,0,71.24,64.7,55.0,7225.88267,7275.64418
-2.47174e+18,charge,DC Charging,48.15,55.0,85.8,7275.64418,7275.64418
-2.47174e+18,trip,0,56.41,85.8,81.4,7275.64418,7306.4446
-2.47174e+18,charge,120,482.77,81.4,94.1,7306.4446,7306.4446
-2.47174e+18,trip,0,213.28,94.1,63.4,7306.4446,7451.46805
-2.47174e+18,trip,0,142.19,63.4,42.4,7451.46805,7554.28216
-2.47174e+18,trip,0,64.15,42.4,34.2,7554.28216,7601.8334
-2.47174e+18,trip,0,39.85,34.2,32.5,7601.8334,7619.15359
-2.47174e+18,charge,120,675.2,32.5,44.8,7619.15359,7619.15359
-2.47174e+18,trip,0,68.87,44.8,36.0,7619.15359,7668.55752
-2.47174e+18,trip,0,36.03,36.0,33.6,7668.55752,7687.06523
-2.47174e+18,trip,0,37.49,33.6,32.5,7687.06523,7705.54113
-2.47174e+18,trip,0,40.07,32.5,30.4,7705.54113,7725.47649
-2.47174e+18,charge,DC Charging,41.4,30.4,64.9,7725.47649,7725.47649
-2.47174e+18,charge,120,371.03,64.9,69.4,7725.47649,7725.47649
-2.47174e+18,trip,0,84.68,69.4,60.4,7725.47649,7772.8146
-2.47174e+18,charge,120,713.26,60.4,74.7,7772.8146,7772.8146
-2.47174e+18,trip,0,46.31,74.7,72.8,7772.8146,7793.07958
-2.47174e+18,trip,0,70.95,72.8,64.3,7793.07958,7835.9514
-2.47174e+18,trip,0,18.93,64.3,63.5,7835.9514,7847.59441
-2.47174e+18,charge,DC Charging,60.08,63.5,81.4,7847.59441,7847.59441
-2.47174e+18,trip,0,59.13,81.4,77.2,7847.59441,7874.86565
-2.47174e+18,trip,0,68.21,77.2,69.2,7874.86565,7910.49531
-2.47174e+18,trip,0,74.63,69.2,57.4,7910.49531,7963.89021
-2.47174e+18,charge,240,47.97,57.4,76.1,7963.89021,7963.89021
-2.47174e+18,trip,0,33.15,76.1,73.2,7963.89021,7984.9409
-2.47174e+18,trip,0,65.59,73.2,66.1,7984.9409,8029.53031
-2.47174e+18,trip,0,130.17,66.1,49.5,8029.53031,8113.93391
-2.47174e+18,trip,0,19.95,49.5,48.8,8113.93391,8126.45503
-2.47174e+18,charge,120,214.08,48.8,57.4,8126.45503,8126.45503
-2.47174e+18,trip,0,24.48,57.4,55.8,8126.45503,8141.22862
-2.47174e+18,trip,0,21.48,55.8,54.8,8141.22862,8152.44683
-2.47174e+18,trip,0,33.81,54.8,51.9,8152.44683,8170.40054
-2.47174e+18,trip,0,37.91,51.9,50.1,8170.40054,8188.12298
-2.47174e+18,charge,120,585.3,50.1,64.1,8188.12298,8188.12298
-2.47174e+18,trip,0,31.88,64.1,61.9,8188.12298,8209.14789
-2.47174e+18,charge,DC Charging,45.5,61.9,96.2,8209.14789,8209.14789
-2.47174e+18,trip,0,111.44,96.2,79.8,8209.14789,8290.34266
-2.47174e+18,trip,0,26.78,79.8,76.5,8290.34266,8307.92113
-2.47174e+18,trip,0,34.99,76.5,73.9,8307.92113,8330.81609
-2.47174e+18,trip,0,38.3,73.9,70.4,8330.81609,8352.77257
-2.47174e+18,trip,0,38.26,70.4,69.2,8352.77257,8372.14089
-2.47174e+18,trip,0,38.95,69.2,66.7,8372.14089,8392.38302
-2.47174e+18,charge,120,623.47,66.7,81.9,8392.38302,8392.38302
-2.47174e+18,trip,0,69.56,81.9,77.2,8392.38302,8426.15394
-2.47174e+18,charge,120,312.9,77.2,84.5,8426.15394,8426.15394
-2.47174e+18,trip,0,279.58,84.5,53.2,8426.15394,8583.32199
-2.47174e+18,charge,120,796.44,53.2,61.4,8583.32199,8583.32199
-2.47174e+18,trip,0,210.32,61.4,47.7,8583.32199,8670.99062
-2.47174e+18,trip,0,105.06,47.7,38.9,8670.99062,8722.61286
-2.47174e+18,charge,240,103.04,38.9,46.9,8722.61286,8722.61286
-2.47174e+18,trip,0,84.79,46.9,33.7,8722.61286,8778.4613
-2.47174e+18,trip,0,28.06,33.7,29.7,8778.4613,8794.79621
-2.47174e+18,charge,120,74.58,29.7,33.7,8794.79621,8794.79621
-2.47174e+18,trip,0,36.86,33.7,30.9,8794.79621,8816.57069
-2.47174e+18,trip,0,30.26,30.9,28.9,8816.57069,8831.25833
-2.47174e+18,trip,0,32.46,28.9,26.0,8831.25833,8848.22421
-2.47174e+18,charge,120,106.23,26.0,33.0,8848.22421,8848.22421
-2.47174e+18,trip,0,52.41,33.0,28.9,8848.22421,8874.15889
-2.47174e+18,trip,0,18.52,28.9,27.8,8874.15889,8883.17582
-2.47174e+18,trip,0,26.56,27.8,23.4,8883.17582,8903.7495
-2.47174e+18,charge,DC Charging,39.06,23.4,56.8,8903.7495,8903.7495
-2.47174e+18,trip,0,33.91,56.8,52.4,8903.7495,8930.36033
-2.47174e+18,charge,DC Charging,36.1,52.4,81.3,8930.36033,8930.36033
-2.47174e+18,trip,0,58.52,81.3,78.3,8930.36033,8955.38519
-2.47174e+18,charge,120,447.55,78.3,90.7,8955.38519,8955.38519
-2.47174e+18,trip,0,90.8,90.7,82.9,8955.38519,8991.82145
-2.47174e+18,trip,0,45.81,82.9,77.6,8991.82145,9020.45805
-2.47174e+18,charge,240,57.99,77.6,93.0,9020.45805,9020.45805
-2.47174e+18,trip,0,210.84,93.0,62.5,9020.45805,9169.2197
-2.47174e+18,trip,0,30.56,62.5,57.5,9169.2197,9189.53817
-2.47174e+18,charge,DC Charging,80.6,57.5,82.0,9189.53817,9189.53817
-2.47174e+18,trip,0,34.64,82.0,79.4,9189.53817,9204.42905
-2.47174e+18,charge,240,57.37,79.4,93.5,9204.42905,9204.42905
-2.47174e+18,trip,0,24.45,93.5,92.3,9204.42905,9217.33113
-2.47174e+18,trip,0,39.83,92.3,89.8,9217.33113,9243.35048
-2.47174e+18,trip,0,92.6,89.8,78.0,9243.35048,9310.14341
-2.47174e+18,trip,0,82.41,78.0,69.5,9310.14341,9358.45253
-2.47174e+18,trip,0,92.67,69.5,59.3,9358.45253,9421.648
-2.47174e+18,trip,0,82.35,59.3,49.8,9421.648,9474.00418
-2.47174e+18,charge,120,223.63,49.8,52.6,9474.00418,9474.00418
-2.47174e+18,trip,0,30.21,52.6,51.4,9474.00418,9488.08344
-2.47174e+18,charge,120,212.73,51.4,54.8,9488.08344,9488.08344
-2.47174e+18,trip,0,60.04,54.8,47.2,9488.08344,9525.61262
-2.47174e+18,charge,240,87.45,47.2,57.1,9525.61262,9525.61262
-2.47174e+18,trip,0,284.28,57.1,50.6,9525.61262,9582.79786
-2.47174e+18,charge,240,74.79,50.6,60.4,9582.79786,9582.79786
-2.47174e+18,trip,0,60.35,60.4,53.1,9582.79786,9622.41774
-2.47174e+18,trip,0,38.99,53.1,49.0,9622.41774,9644.98661
-2.47174e+18,trip,0,134.21,49.0,24.2,9644.98661,9759.31813
-2.47174e+18,charge,DC Charging,48.55,24.2,48.1,9759.31813,9759.31813
-2.47174e+18,trip,0,31.26,48.1,45.0,9759.31813,9780.30302
-2.47174e+18,trip,0,21.16,45.0,43.5,9780.30302,9792.73773
-2.47174e+18,trip,0,44.5,43.5,38.8,9792.73773,9816.92355
-2.47174e+18,charge,120,220.77,38.8,45.2,9816.92355,9816.92355
-2.47174e+18,trip,0,214.99,45.2,36.9,9816.92355,9876.75037
-2.47174e+18,trip,0,35.96,36.9,32.9,9876.75037,9898.88891
-2.47174e+18,trip,0,19.35,32.9,32.2,9898.88891,9908.18815
-2.47174e+18,charge,DC Charging,44.61,32.2,53.6,9908.18815,9908.18815
-2.47174e+18,trip,0,36.74,53.6,50.7,9908.18815,9931.10389
-2.47174e+18,trip,0,17.48,50.7,49.5,9931.10389,9942.06306
-2.47174e+18,charge,240,51.64,49.5,60.2,9942.06306,9942.06306
-2.47174e+18,charge,240,85.13,60.2,67.3,9942.06306,9942.06306
-2.47174e+18,trip,0,56.67,67.3,61.4,9942.06306,9972.37588
-2.47174e+18,trip,0,23.53,61.4,60.4,9972.37588,9984.65429
-2.47174e+18,trip,0,134.0,60.4,45.5,9984.65429,10056.79671
-2.47174e+18,trip,0,22.22,45.5,43.7,10056.79671,10069.74389
-2.47174e+18,trip,0,22.71,43.7,42.4,10069.74389,10082.0642
-2.47174e+18,trip,0,17.6,42.4,41.8,10082.0642,10091.98599
-2.47174e+18,trip,0,49.42,41.8,36.4,10091.98599,10120.86187
-2.47174e+18,charge,DC Charging,39.98,36.4,71.9,10120.86187,10120.86187
-2.47174e+18,trip,0,90.61,71.9,59.4,10120.86187,10182.22202
-2.47174e+18,trip,0,97.27,59.4,43.1,10182.22202,10261.66483
-2.47174e+18,charge,DC Charging,41.63,43.1,66.8,10261.66483,10261.66483
-2.47174e+18,trip,0,26.74,66.8,64.5,10261.66483,10279.29984
-2.47174e+18,trip,0,53.74,64.5,58.7,10279.29984,10314.7746
-2.47174e+18,trip,0,45.78,58.7,54.2,10314.7746,10339.44517
-2.47174e+18,trip,0,33.77,54.2,53.1,10339.44517,10355.28993
-2.47174e+18,trip,0,24.2,53.1,51.0,10355.28993,10370.00843
-2.47174e+18,trip,0,29.23,51.0,48.0,10370.00843,10386.82537
-2.47174e+18,trip,0,22.44,48.0,46.5,10386.82537,10399.83351
-2.47174e+18,trip,0,17.56,46.5,45.8,10399.83351,10409.50031
-2.47174e+18,trip,0,23.78,45.8,44.6,10409.50031,10422.44687
-2.47174e+18,trip,0,22.59,44.6,43.9,10422.44687,10433.38595
-2.47174e+18,trip,0,40.61,43.9,40.5,10433.38595,10458.42244
-2.47174e+18,trip,0,114.86,40.5,23.4,10458.42244,10550.54992
-2.47174e+18,charge,DC Charging,62.55,23.4,46.0,10550.54992,10550.54992
-2.47174e+18,trip,0,63.5,46.0,40.8,10550.54992,10586.3746
-2.47174e+18,charge,240,61.08,40.8,47.9,10586.3746,10586.3746
-2.47174e+18,charge,120,980.18,47.9,59.4,10586.3746,10586.3746
-2.47174e+18,trip,0,91.54,59.4,48.9,10586.3746,10643.57259
-2.47174e+18,trip,0,22.07,48.9,47.4,10643.57259,10656.57388
-2.47174e+18,charge,240,84.1,47.4,63.5,10656.57388,10656.57388
-2.47174e+18,trip,0,45.37,63.5,61.0,10656.57388,10678.69763
-2.47174e+18,trip,0,23.79,61.0,59.5,10678.69763,10691.8564
-2.47174e+18,trip,0,31.48,59.5,58.2,10691.8564,10704.51895
-2.47174e+18,charge,240,85.79,58.2,65.8,10704.51895,10704.51895
-2.47174e+18,trip,0,38.74,65.8,64.5,10704.51895,10723.10895
-2.47174e+18,charge,240,79.56,64.5,71.5,10723.10895,10723.10895
-2.47174e+18,trip,0,63.55,71.5,67.1,10723.10895,10756.52035
-2.47174e+18,charge,DC Charging,51.44,67.1,95.9,10756.52035,10756.52035
-2.47174e+18,trip,0,282.79,95.9,67.4,10756.52035,10889.6168
-2.47174e+18,trip,0,225.35,67.4,52.6,10889.6168,10969.0326
-2.47174e+18,charge,120,174.06,52.6,56.5,10969.0326,10969.0326
-2.47174e+18,trip,0,141.75,56.5,34.7,10969.0326,11070.20702
-2.47174e+18,trip,0,26.22,34.7,31.6,11070.20702,11087.1354
-2.47174e+18,charge,DC Charging,83.98,31.6,52.4,11087.1354,11087.1354
-2.47174e+18,trip,0,48.85,52.4,50.4,11087.1354,11104.71517
-2.47174e+18,trip,0,41.03,50.4,45.7,11104.71517,11132.79994
-2.47174e+18,trip,0,22.53,45.7,44.7,11132.79994,11142.31232
-2.47174e+18,trip,0,41.05,44.7,39.5,11142.31232,11169.71256
-2.47174e+18,charge,DC Charging,79.65,39.5,59.4,11169.71256,11169.71256
-2.47174e+18,trip,0,102.72,59.4,48.2,11169.71256,11228.82553
-2.47174e+18,charge,240,94.8,48.2,54.5,11228.82553,11228.82553
-2.47174e+18,trip,0,61.0,54.5,48.4,11228.82553,11260.83854
-2.47174e+18,charge,120,243.64,48.4,56.0,11260.83854,11260.83854
-2.47174e+18,trip,0,18.06,56.0,55.3,11260.83854,11270.85681
-2.47174e+18,trip,0,20.31,55.3,54.3,11270.85681,11281.70773
-2.47174e+18,trip,0,61.59,54.3,47.3,11281.70773,11322.53734
-2.47174e+18,trip,0,22.65,47.3,46.5,11322.53734,11333.99952
-2.47174e+18,charge,120,233.83,46.5,53.3,11333.99952,11333.99952
